"Step","honest-disco-4 - AutoEncoderTopK-0/loss","honest-disco-4 - AutoEncoderTopK-0/loss__MIN","honest-disco-4 - AutoEncoderTopK-0/loss__MAX","honest-disco-4 - AutoEncoderTopK-1/loss","honest-disco-4 - AutoEncoderTopK-1/loss__MIN","honest-disco-4 - AutoEncoderTopK-1/loss__MAX","rural-cloud-3 - AutoEncoderTopK-0/loss","rural-cloud-3 - AutoEncoderTopK-0/loss__MIN","rural-cloud-3 - AutoEncoderTopK-0/loss__MAX","rural-cloud-3 - AutoEncoderTopK-1/loss","rural-cloud-3 - AutoEncoderTopK-1/loss__MIN","rural-cloud-3 - AutoEncoderTopK-1/loss__MAX","wise-sound-2 - AutoEncoderTopK-0/loss","wise-sound-2 - AutoEncoderTopK-0/loss__MIN","wise-sound-2 - AutoEncoderTopK-0/loss__MAX","wise-sound-2 - AutoEncoderTopK-1/loss","wise-sound-2 - AutoEncoderTopK-1/loss__MIN","wise-sound-2 - AutoEncoderTopK-1/loss__MAX","frosty-resonance-1 - AutoEncoderTopK-0/loss","frosty-resonance-1 - AutoEncoderTopK-0/loss__MIN","frosty-resonance-1 - AutoEncoderTopK-0/loss__MAX","frosty-resonance-1 - AutoEncoderTopK-1/loss","frosty-resonance-1 - AutoEncoderTopK-1/loss__MIN","frosty-resonance-1 - AutoEncoderTopK-1/loss__MAX"
"0","51735.8203125","51735.8203125","51735.8203125","51925.2109375","51925.2109375","51925.2109375","61437.6171875","61437.6171875","61437.6171875","55555.86328125","55555.86328125","55555.86328125","70314.515625","70314.515625","70314.515625","65442.1875","65442.1875","65442.1875","79752.796875","79752.796875","79752.796875","76304.40625","76304.40625","76304.40625"
"1000","1159.6953125","1159.6953125","1159.6953125","1004.1732177734375","1004.1732177734375","1004.1732177734375","1426.6142578125","1426.6142578125","1426.6142578125","1276.7034912109375","1276.7034912109375","1276.7034912109375","1691.810791015625","1691.810791015625","1691.810791015625","1527.337158203125","1527.337158203125","1527.337158203125","3965.514892578125","3965.514892578125","3965.514892578125","2109.65771484375","2109.65771484375","2109.65771484375"
"2000","1077.91455078125","1077.91455078125","1077.91455078125","837.0673828125","837.0673828125","837.0673828125","1351.502197265625","1351.502197265625","1351.502197265625","1199.501953125","1199.501953125","1199.501953125","1621.176513671875","1621.176513671875","1621.176513671875","1458.333251953125","1458.333251953125","1458.333251953125","2521.18310546875","2521.18310546875","2521.18310546875","2015.8511962890625","2015.8511962890625","2015.8511962890625"
"3000","976.840087890625","976.840087890625","976.840087890625","754.7840576171875","754.7840576171875","754.7840576171875","1227.165771484375","1227.165771484375","1227.165771484375","1076.5738525390625","1076.5738525390625","1076.5738525390625","1480.5745849609375","1480.5745849609375","1480.5745849609375","1330.87548828125","1330.87548828125","1330.87548828125","2460.392578125","2460.392578125","2460.392578125","1882.3739013671875","1882.3739013671875","1882.3739013671875"
"4000","899.32763671875","899.32763671875","899.32763671875","704.2376708984375","704.2376708984375","704.2376708984375","1132.340576171875","1132.340576171875","1132.340576171875","986.646728515625","986.646728515625","986.646728515625","1375.5157470703125","1375.5157470703125","1375.5157470703125","1229.02978515625","1229.02978515625","1229.02978515625","2504.45947265625","2504.45947265625","2504.45947265625","1784.8345947265625","1784.8345947265625","1784.8345947265625"
"5000","837.3106689453125","837.3106689453125","837.3106689453125","670.326904296875","670.326904296875","670.326904296875","1059.464599609375","1059.464599609375","1059.464599609375","923.6759033203125","923.6759033203125","923.6759033203125","1304.077392578125","1304.077392578125","1304.077392578125","1154.9315185546875","1154.9315185546875","1154.9315185546875","2401.45166015625","2401.45166015625","2401.45166015625","1713.0419921875","1713.0419921875","1713.0419921875"
"6000","813.2754516601562","813.2754516601562","813.2754516601562","656.437255859375","656.437255859375","656.437255859375","1033.922607421875","1033.922607421875","1033.922607421875","900.6294555664062","900.6294555664062","900.6294555664062","1284.5322265625","1284.5322265625","1284.5322265625","1130.49755859375","1130.49755859375","1130.49755859375","2387.78662109375","2387.78662109375","2387.78662109375","1703.793212890625","1703.793212890625","1703.793212890625"
"7000","789.5223388671875","789.5223388671875","789.5223388671875","639.559326171875","639.559326171875","639.559326171875","1009.0646362304688","1009.0646362304688","1009.0646362304688","878.78857421875","878.78857421875","878.78857421875","1262.4833984375","1262.4833984375","1262.4833984375","1106.0740966796875","1106.0740966796875","1106.0740966796875","2359.3125","2359.3125","2359.3125","1678.1827392578125","1678.1827392578125","1678.1827392578125"
"8000","777.4321899414062","777.4321899414062","777.4321899414062","630.2506103515625","630.2506103515625","630.2506103515625","998.8519287109375","998.8519287109375","998.8519287109375","868.1121826171875","868.1121826171875","868.1121826171875","1252.4537353515625","1252.4537353515625","1252.4537353515625","1096.816162109375","1096.816162109375","1096.816162109375","2353.5615234375","2353.5615234375","2353.5615234375","1677.322509765625","1677.322509765625","1677.322509765625"
"9000","754.9000244140625","754.9000244140625","754.9000244140625","613.123291015625","613.123291015625","613.123291015625","972.8636474609375","972.8636474609375","972.8636474609375","843.37060546875","843.37060546875","843.37060546875","1222.4520263671875","1222.4520263671875","1222.4520263671875","1068.2994384765625","1068.2994384765625","1068.2994384765625","2298.008056640625","2298.008056640625","2298.008056640625","1637.8515625","1637.8515625","1637.8515625"
"10000","754.5137939453125","754.5137939453125","754.5137939453125","613.9566650390625","613.9566650390625","613.9566650390625","972.7898559570312","972.7898559570312","972.7898559570312","844.3071899414062","844.3071899414062","844.3071899414062","1229.263427734375","1229.263427734375","1229.263427734375","1071.468994140625","1071.468994140625","1071.468994140625","2325.364990234375","2325.364990234375","2325.364990234375","1650.793212890625","1650.793212890625","1650.793212890625"
"11000","742.930419921875","742.930419921875","742.930419921875","603.7518310546875","603.7518310546875","603.7518310546875","961.2099609375","961.2099609375","961.2099609375","833.1026611328125","833.1026611328125","833.1026611328125","1216.1817626953125","1216.1817626953125","1216.1817626953125","1060.64111328125","1060.64111328125","1060.64111328125","2299.470703125","2299.470703125","2299.470703125","1629.9019775390625","1629.9019775390625","1629.9019775390625"
"12000","742.0961303710938","742.0961303710938","742.0961303710938","602.4540405273438","602.4540405273438","602.4540405273438","962.054443359375","962.054443359375","962.054443359375","832.6024169921875","832.6024169921875","832.6024169921875","1218.1611328125","1218.1611328125","1218.1611328125","1060.836181640625","1060.836181640625","1060.836181640625","2319.80224609375","2319.80224609375","2319.80224609375","1640.438232421875","1640.438232421875","1640.438232421875"
