"Step","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MAX","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MAX"
"4","","","","","","","","","","66128.359375","66128.359375","66128.359375"
"5","","","","53703.31640625","53703.31640625","53703.31640625","","","","","",""
"14","","","","","","","","","","70969.53125","70969.53125","70969.53125"
"22","","","","","","","","","","51961.7265625","51961.7265625","51961.7265625"
"24","","","","","","","81200","81200","81200","","",""
"28","60830.625","60830.625","60830.625","","","","","","","","",""
"32","","","","","","","","","","79816.8828125","79816.8828125","79816.8828125"
"35","","","","36009.3046875","36009.3046875","36009.3046875","","","","","",""
"37","","","","35541.3671875","35541.3671875","35541.3671875","","","","","",""
"39","60492.5625","60492.5625","60492.5625","","","","","","","","",""
"44","","","","35245.34765625","35245.34765625","35245.34765625","82903.7421875","82903.7421875","82903.7421875","","",""
"45","","","","","","","72151.078125","72151.078125","72151.078125","","",""
"47","","","","","","","","","","58639.578125","58639.578125","58639.578125"
"50","","","","","","","","","","62178.7578125","62178.7578125","62178.7578125"
"53","","","","30407.470703125","30407.470703125","30407.470703125","","","","","",""
"54","","","","33039.890625","33039.890625","33039.890625","","","","","",""
"56","","","","31946.455078125","31946.455078125","31946.455078125","","","","68285.2578125","68285.2578125","68285.2578125"
"57","35477.27734375","35477.27734375","35477.27734375","","","","","","","","",""
"58","","","","","","","","","","70758.6484375","70758.6484375","70758.6484375"
"66","","","","","","","","","","61959.20703125","61959.20703125","61959.20703125"
"67","50575.22265625","50575.22265625","50575.22265625","","","","","","","","",""
"69","48137.1015625","48137.1015625","48137.1015625","","","","","","","","",""
"71","","","","29770.73046875","29770.73046875","29770.73046875","81276.078125","81276.078125","81276.078125","","",""
"72","54447.90625","54447.90625","54447.90625","","","","","","","","",""
"73","","","","","","","79864.8046875","79864.8046875","79864.8046875","","",""
"74","42677.25","42677.25","42677.25","24403.50390625","24403.50390625","24403.50390625","","","","","",""
"79","","","","","","","79842.3828125","79842.3828125","79842.3828125","","",""
"80","","","","","","","","","","63581.40625","63581.40625","63581.40625"
"85","","","","","","","75356.1484375","75356.1484375","75356.1484375","","",""
"91","","","","","","","","","","62622.671875","62622.671875","62622.671875"
"92","42810.5625","42810.5625","42810.5625","","","","","","","","",""
"94","","","","","","","84897.1328125","84897.1328125","84897.1328125","","",""
"98","","","","23886.14453125","23886.14453125","23886.14453125","73801.4921875","73801.4921875","73801.4921875","","",""
"101","","","","","","","","","","81482.53125","81482.53125","81482.53125"
"104","","","","","","","68537.921875","68537.921875","68537.921875","","",""
"106","46164.8125","46164.8125","46164.8125","","","","","","","","",""
"108","","","","23760.75","23760.75","23760.75","","","","","",""
"109","","","","","","","","","","66212.5390625","66212.5390625","66212.5390625"
"111","","","","23950.05859375","23950.05859375","23950.05859375","","","","","",""
"112","47333","47333","47333","24420.73046875","24420.73046875","24420.73046875","","","","","",""
"113","","","","24016.693359375","24016.693359375","24016.693359375","","","","","",""
"114","","","","21185.9296875","21185.9296875","21185.9296875","","","","","",""
"116","","","","","","","","","","56007.5703125","56007.5703125","56007.5703125"
"118","","","","","","","67273.6640625","67273.6640625","67273.6640625","","",""
"120","","","","21655.791015625","21655.791015625","21655.791015625","","","","","",""
"121","","","","","","","","","","70206.15625","70206.15625","70206.15625"
"122","","","","","","","67875.9453125","67875.9453125","67875.9453125","53799.21484375","53799.21484375","53799.21484375"
"132","","","","18990.0390625","18990.0390625","18990.0390625","","","","","",""
"134","","","","","","","74152.390625","74152.390625","74152.390625","","",""
"136","43922.6171875","43922.6171875","43922.6171875","","","","","","","","",""
"137","","","","","","","","","","62001.5234375","62001.5234375","62001.5234375"
"138","","","","","","","","","","60341.9453125","60341.9453125","60341.9453125"
"139","42525.921875","42525.921875","42525.921875","","","","","","","60246.89453125","60246.89453125","60246.89453125"
"143","38067.37890625","38067.37890625","38067.37890625","","","","","","","","",""
"148","","","","","","","87460.890625","87460.890625","87460.890625","","",""
"150","40784.4375","40784.4375","40784.4375","","","","","","","58540.3671875","58540.3671875","58540.3671875"
"151","","","","","","","69860.578125","69860.578125","69860.578125","","",""
"161","","","","","","","72600.125","72600.125","72600.125","","",""
"162","35743.1875","35743.1875","35743.1875","16045.3974609375","16045.3974609375","16045.3974609375","","","","","",""
"163","","","","","","","","","","49474.96875","49474.96875","49474.96875"
"164","38314.0390625","38314.0390625","38314.0390625","","","","","","","","",""
"166","","","","","","","85838.40625","85838.40625","85838.40625","","",""
"168","","","","15466.89453125","15466.89453125","15466.89453125","","","","","",""
"170","","","","","","","","","","45916.09375","45916.09375","45916.09375"
"171","","","","16040.27734375","16040.27734375","16040.27734375","","","","","",""
"184","","","","","","","","","","52699.96875","52699.96875","52699.96875"
"187","","","","","","","","","","50890.12109375","50890.12109375","50890.12109375"
"189","","","","","","","","","","47794.76953125","47794.76953125","47794.76953125"
"193","","","","14545.1484375","14545.1484375","14545.1484375","","","","","",""
"194","35891.109375","35891.109375","35891.109375","","","","","","","","",""
"195","","","","14668.16015625","14668.16015625","14668.16015625","","","","","",""
"196","","","","14747.822265625","14747.822265625","14747.822265625","","","","","",""
"199","30567.01953125","30567.01953125","30567.01953125","","","","","","","","",""
"200","","","","12014.29296875","12014.29296875","12014.29296875","","","","46910.4375","46910.4375","46910.4375"
"202","39239.2890625","39239.2890625","39239.2890625","","","","","","","","",""
"207","","","","13589.2890625","13589.2890625","13589.2890625","78150.140625","78150.140625","78150.140625","","",""
"208","","","","","","","","","","48188.42578125","48188.42578125","48188.42578125"
"211","37398","37398","37398","","","","","","","","",""
"212","","","","","","","","","","47506.859375","47506.859375","47506.859375"
"214","","","","11447.1884765625","11447.1884765625","11447.1884765625","67651.2578125","67651.2578125","67651.2578125","","",""
"219","","","","","","","","","","39038.41796875","39038.41796875","39038.41796875"
"220","","","","","","","84811.8125","84811.8125","84811.8125","60941.7265625","60941.7265625","60941.7265625"
"221","32258.03125","32258.03125","32258.03125","","","","","","","","",""
"223","","","","","","","","","","50630.62109375","50630.62109375","50630.62109375"
"224","","","","","","","73446.640625","73446.640625","73446.640625","","",""
"228","","","","","","","69546.8984375","69546.8984375","69546.8984375","","",""
"230","","","","12261.509765625","12261.509765625","12261.509765625","","","","60831.5234375","60831.5234375","60831.5234375"
"232","33898.60546875","33898.60546875","33898.60546875","10980.8935546875","10980.8935546875","10980.8935546875","","","","54243.984375","54243.984375","54243.984375"
"233","","","","10655.5361328125","10655.5361328125","10655.5361328125","","","","","",""
"234","","","","","","","","","","53813.3359375","53813.3359375","53813.3359375"
"238","31152.33203125","31152.33203125","31152.33203125","9871.8134765625","9871.8134765625","9871.8134765625","","","","","",""
"240","","","","10113.1416015625","10113.1416015625","10113.1416015625","","","","52698.41796875","52698.41796875","52698.41796875"
"243","","","","","","","","","","53286.9140625","53286.9140625","53286.9140625"
"248","","","","9892.48828125","9892.48828125","9892.48828125","","","","","",""
"249","24326.66796875","24326.66796875","24326.66796875","","","","","","","","",""
"253","","","","7710.91455078125","7710.91455078125","7710.91455078125","","","","","",""
"254","","","","8003.591796875","8003.591796875","8003.591796875","","","","","",""
"256","26233.328125","26233.328125","26233.328125","","","","","","","","",""
"257","","","","","","","63312.63671875","63312.63671875","63312.63671875","","",""
"260","","","","8364.111328125","8364.111328125","8364.111328125","","","","","",""
"261","","","","","","","","","","49694.80859375","49694.80859375","49694.80859375"
"263","","","","7710.048828125","7710.048828125","7710.048828125","","","","","",""
"264","32144.041015625","32144.041015625","32144.041015625","","","","79194.6015625","79194.6015625","79194.6015625","","",""
"265","28872.1171875","28872.1171875","28872.1171875","","","","","","","","",""
"268","","","","","","","","","","45180.25","45180.25","45180.25"
"270","28384.767578125","28384.767578125","28384.767578125","7333.04638671875","7333.04638671875","7333.04638671875","","","","","",""
"271","","","","6691.466796875","6691.466796875","6691.466796875","","","","","",""
"273","","","","","","","","","","52028.96484375","52028.96484375","52028.96484375"
"277","","","","","","","","","","36410.875","36410.875","36410.875"
"278","28850.16796875","28850.16796875","28850.16796875","","","","","","","","",""
"279","25736.994140625","25736.994140625","25736.994140625","","","","","","","","",""
"284","","","","7379.57275390625","7379.57275390625","7379.57275390625","","","","","",""
"287","","","","5870.1328125","5870.1328125","5870.1328125","","","","","",""
"294","","","","5878.517578125","5878.517578125","5878.517578125","","","","","",""
"296","24497.943359375","24497.943359375","24497.943359375","","","","65976.953125","65976.953125","65976.953125","","",""
"297","","","","5220.2958984375","5220.2958984375","5220.2958984375","","","","","",""
"301","29046.171875","29046.171875","29046.171875","","","","","","","","",""
"302","","","","","","","63135.3515625","63135.3515625","63135.3515625","","",""
"308","","","","","","","","","","54055.5703125","54055.5703125","54055.5703125"
"311","","","","","","","71528.78125","71528.78125","71528.78125","","",""
"312","","","","4624.65869140625","4624.65869140625","4624.65869140625","","","","","",""
"313","25252.541015625","25252.541015625","25252.541015625","4584.75830078125","4584.75830078125","4584.75830078125","","","","","",""
"315","","","","","","","54612.19921875","54612.19921875","54612.19921875","","",""
"318","","","","","","","","","","43194.703125","43194.703125","43194.703125"
"324","24437.595703125","24437.595703125","24437.595703125","4035.3173828125","4035.3173828125","4035.3173828125","72890.1875","72890.1875","72890.1875","","",""
"325","22151.748046875","22151.748046875","22151.748046875","","","","","","","","",""
"326","19953.517578125","19953.517578125","19953.517578125","","","","","","","","",""
"327","","","","3845.90771484375","3845.90771484375","3845.90771484375","","","","","",""
"331","","","","","","","","","","46258.29296875","46258.29296875","46258.29296875"
"332","25646.052734375","25646.052734375","25646.052734375","","","","79354.6484375","79354.6484375","79354.6484375","","",""
"333","","","","3324.568359375","3324.568359375","3324.568359375","","","","","",""
"334","19722.6015625","19722.6015625","19722.6015625","","","","","","","","",""
"342","18983.75","18983.75","18983.75","","","","","","","","",""
"343","","","","3088.912109375","3088.912109375","3088.912109375","","","","","",""
"354","","","","2868.53076171875","2868.53076171875","2868.53076171875","","","","","",""
"355","","","","2707.442138671875","2707.442138671875","2707.442138671875","","","","","",""
"364","","","","","","","","","","43996.7578125","43996.7578125","43996.7578125"
"370","","","","2418.15283203125","2418.15283203125","2418.15283203125","","","","39071.796875","39071.796875","39071.796875"
"372","","","","","","","73028.84375","73028.84375","73028.84375","","",""
"374","","","","","","","67357.25","67357.25","67357.25","","",""
"375","","","","","","","67239.296875","67239.296875","67239.296875","","",""
"376","","","","","","","","","","39223.12109375","39223.12109375","39223.12109375"
"377","","","","","","","63340.0703125","63340.0703125","63340.0703125","37362.03515625","37362.03515625","37362.03515625"
"379","","","","","","","","","","39923.8359375","39923.8359375","39923.8359375"
"380","","","","","","","66135.96875","66135.96875","66135.96875","","",""
"382","","","","","","","","","","36562.765625","36562.765625","36562.765625"
"385","","","","2259.4541015625","2259.4541015625","2259.4541015625","","","","","",""
"386","","","","2278.2177734375","2278.2177734375","2278.2177734375","","","","","",""
"394","","","","","","","59840.2265625","59840.2265625","59840.2265625","","",""
"396","","","","2180.635986328125","2180.635986328125","2180.635986328125","","","","","",""
"398","16913.21875","16913.21875","16913.21875","","","","","","","39316.3515625","39316.3515625","39316.3515625"
"402","","","","","","","","","","39138.6875","39138.6875","39138.6875"
"405","","","","2160.9775390625","2160.9775390625","2160.9775390625","","","","","",""
"406","15669.322265625","15669.322265625","15669.322265625","","","","","","","","",""
"407","","","","2144.20361328125","2144.20361328125","2144.20361328125","","","","","",""
"408","","","","","","","","","","44422.5859375","44422.5859375","44422.5859375"
"412","","","","2127.2197265625","2127.2197265625","2127.2197265625","60738.51953125","60738.51953125","60738.51953125","","",""
"413","","","","","","","61987.30859375","61987.30859375","61987.30859375","","",""
"416","","","","","","","49822.28125","49822.28125","49822.28125","","",""
"418","","","","","","","57082.484375","57082.484375","57082.484375","","",""
"421","","","","","","","","","","31075.619140625","31075.619140625","31075.619140625"
"422","16465.125","16465.125","16465.125","","","","","","","","",""
"424","","","","","","","63655.76953125","63655.76953125","63655.76953125","","",""
"425","","","","","","","","","","35079.12890625","35079.12890625","35079.12890625"
"427","","","","","","","","","","34011.99609375","34011.99609375","34011.99609375"
"431","","","","2065.2021484375","2065.2021484375","2065.2021484375","","","","","",""
"435","","","","","","","71085.859375","71085.859375","71085.859375","","",""
"436","","","","","","","","","","26636.56640625","26636.56640625","26636.56640625"
"437","12371.708984375","12371.708984375","12371.708984375","","","","","","","","",""
"439","","","","","","","","","","33923.18359375","33923.18359375","33923.18359375"
"441","","","","","","","","","","27332.203125","27332.203125","27332.203125"
"442","","","","2014.7506103515625","2014.7506103515625","2014.7506103515625","","","","","",""
"443","","","","2023.137451171875","2023.137451171875","2023.137451171875","","","","","",""
"446","","","","","","","","","","34284.53125","34284.53125","34284.53125"
"447","","","","","","","57155.32421875","57155.32421875","57155.32421875","","",""
"451","","","","2008.702880859375","2008.702880859375","2008.702880859375","","","","","",""
"452","","","","","","","67892.609375","67892.609375","67892.609375","","",""
"455","","","","","","","54253.45703125","54253.45703125","54253.45703125","","",""
"457","","","","1980.48681640625","1980.48681640625","1980.48681640625","","","","","",""
"460","","","","","","","62223.625","62223.625","62223.625","","",""
"463","","","","","","","69233.0078125","69233.0078125","69233.0078125","","",""
"464","","","","1959.81005859375","1959.81005859375","1959.81005859375","","","","","",""
"468","11189.23046875","11189.23046875","11189.23046875","","","","","","","","",""
"469","","","","","","","72470.28125","72470.28125","72470.28125","36260.55859375","36260.55859375","36260.55859375"
"475","10048.521484375","10048.521484375","10048.521484375","","","","63919.8125","63919.8125","63919.8125","","",""
"478","9416.025390625","9416.025390625","9416.025390625","","","","","","","","",""
"480","","","","","","","49735.9765625","49735.9765625","49735.9765625","","",""
"481","","","","","","","","","","34633.7109375","34633.7109375","34633.7109375"
"487","","","","","","","61031.6640625","61031.6640625","61031.6640625","","",""
"489","9232.1650390625","9232.1650390625","9232.1650390625","","","","65295.5625","65295.5625","65295.5625","31515.6640625","31515.6640625","31515.6640625"
"490","","","","","","","74101.984375","74101.984375","74101.984375","","",""
"492","","","","1909.521240234375","1909.521240234375","1909.521240234375","","","","","",""
"493","","","","","","","72986.421875","72986.421875","72986.421875","","",""
"496","8958.755859375","8958.755859375","8958.755859375","","","","","","","","",""
"497","6709.287109375","6709.287109375","6709.287109375","","","","44718.4140625","44718.4140625","44718.4140625","","",""
"498","","","","","","","56743.5234375","56743.5234375","56743.5234375","","",""
"499","","","","1914.060791015625","1914.060791015625","1914.060791015625","","","","","",""
"501","","","","1879.8271484375","1879.8271484375","1879.8271484375","","","","","",""
"509","","","","1878.075439453125","1878.075439453125","1878.075439453125","","","","","",""
"510","","","","","","","","","","23259.0703125","23259.0703125","23259.0703125"
"512","","","","1877.6307373046875","1877.6307373046875","1877.6307373046875","68644.0625","68644.0625","68644.0625","","",""
"517","","","","","","","75365.484375","75365.484375","75365.484375","","",""
"519","7228.12939453125","7228.12939453125","7228.12939453125","","","","","","","","",""
"526","","","","","","","56572.078125","56572.078125","56572.078125","25395.4375","25395.4375","25395.4375"
"527","","","","1838.9365234375","1838.9365234375","1838.9365234375","","","","","",""
"529","6921.9248046875","6921.9248046875","6921.9248046875","","","","","","","","",""
"530","6032.4501953125","6032.4501953125","6032.4501953125","","","","","","","","",""
"536","5774.8876953125","5774.8876953125","5774.8876953125","","","","","","","","",""
"540","6341.00390625","6341.00390625","6341.00390625","","","","70359.109375","70359.109375","70359.109375","","",""
"545","","","","1831.32275390625","1831.32275390625","1831.32275390625","56834.140625","56834.140625","56834.140625","","",""
"548","5104.34375","5104.34375","5104.34375","","","","53365.5","53365.5","53365.5","22816.21875","22816.21875","22816.21875"
"552","","","","","","","54712.59765625","54712.59765625","54712.59765625","","",""
"554","","","","","","","63053.59375","63053.59375","63053.59375","","",""
"557","","","","","","","","","","22423.61328125","22423.61328125","22423.61328125"
"558","","","","1804.865966796875","1804.865966796875","1804.865966796875","56880.75","56880.75","56880.75","","",""
"561","5022.61376953125","5022.61376953125","5022.61376953125","","","","","","","","",""
"564","4499.158203125","4499.158203125","4499.158203125","","","","53301.2421875","53301.2421875","53301.2421875","","",""
"567","4515.216796875","4515.216796875","4515.216796875","","","","","","","23240.50390625","23240.50390625","23240.50390625"
"572","4372.1240234375","4372.1240234375","4372.1240234375","","","","58959.3828125","58959.3828125","58959.3828125","","",""
"573","","","","","","","52202.9921875","52202.9921875","52202.9921875","","",""
"574","","","","1813.4136962890625","1813.4136962890625","1813.4136962890625","","","","","",""
"576","","","","","","","","","","23763.64453125","23763.64453125","23763.64453125"
"579","4175.79638671875","4175.79638671875","4175.79638671875","","","","","","","","",""
"580","","","","","","","61742.1171875","61742.1171875","61742.1171875","","",""
"581","","","","1795.0296630859375","1795.0296630859375","1795.0296630859375","","","","","",""
"584","","","","1783.5679931640625","1783.5679931640625","1783.5679931640625","","","","","",""
"590","3767.556884765625","3767.556884765625","3767.556884765625","","","","","","","","",""
"592","","","","1779.3299560546875","1779.3299560546875","1779.3299560546875","","","","","",""
"596","","","","","","","61444.0234375","61444.0234375","61444.0234375","","",""
"599","","","","","","","51960.9609375","51960.9609375","51960.9609375","","",""
"600","3433.8095703125","3433.8095703125","3433.8095703125","","","","","","","","",""
"607","","","","1742.740966796875","1742.740966796875","1742.740966796875","","","","","",""
"609","3266.64599609375","3266.64599609375","3266.64599609375","","","","","","","","",""
"610","","","","1756.863037109375","1756.863037109375","1756.863037109375","","","","","",""
"612","","","","1766.02294921875","1766.02294921875","1766.02294921875","","","","","",""
"613","","","","","","","58092.35546875","58092.35546875","58092.35546875","","",""
"614","","","","1779.497802734375","1779.497802734375","1779.497802734375","","","","","",""
"615","3114.79150390625","3114.79150390625","3114.79150390625","","","","","","","","",""
"619","","","","","","","60361.49609375","60361.49609375","60361.49609375","","",""
"621","3102.052001953125","3102.052001953125","3102.052001953125","","","","","","","","",""
"630","","","","1759.1436767578125","1759.1436767578125","1759.1436767578125","","","","16146.587890625","16146.587890625","16146.587890625"
"632","","","","","","","","","","16924.189453125","16924.189453125","16924.189453125"
"634","","","","1730.946533203125","1730.946533203125","1730.946533203125","","","","","",""
"635","","","","","","","51020.73046875","51020.73046875","51020.73046875","","",""
"636","","","","","","","","","","18220.74609375","18220.74609375","18220.74609375"
"638","2882.9775390625","2882.9775390625","2882.9775390625","","","","","","","","",""
"640","","","","1730.02294921875","1730.02294921875","1730.02294921875","","","","","",""
"641","","","","","","","46085.484375","46085.484375","46085.484375","","",""
"645","","","","1740.061767578125","1740.061767578125","1740.061767578125","","","","","",""
"652","","","","","","","","","","15611.365234375","15611.365234375","15611.365234375"
"653","","","","","","","68439.359375","68439.359375","68439.359375","21001.515625","21001.515625","21001.515625"
