"Name","State","Notes","User","Tags","Created","Runtime","Sweep","SwitchAutoEncoder-0.activation_dim","SwitchAutoEncoder-0.auxk_alpha","SwitchAutoEncoder-0.decay_start","SwitchAutoEncoder-0.device","SwitchAutoEncoder-0.dict_class","SwitchAutoEncoder-0.dict_size","SwitchAutoEncoder-0.experts","SwitchAutoEncoder-0.heaviside","SwitchAutoEncoder-0.k","SwitchAutoEncoder-0.layer","SwitchAutoEncoder-0.lb_alpha","SwitchAutoEncoder-0.lm_name","SwitchAutoEncoder-0.seed","SwitchAutoEncoder-0.steps","SwitchAutoEncoder-0.trainer","SwitchAutoEncoder-0.wandb_name","SwitchAutoEncoder-1.activation_dim","SwitchAutoEncoder-1.auxk_alpha","SwitchAutoEncoder-1.decay_start","SwitchAutoEncoder-1.device","SwitchAutoEncoder-1.dict_class","SwitchAutoEncoder-1.dict_size","SwitchAutoEncoder-1.experts","SwitchAutoEncoder-1.heaviside","SwitchAutoEncoder-1.k","SwitchAutoEncoder-1.layer","SwitchAutoEncoder-1.lb_alpha","SwitchAutoEncoder-1.lm_name","SwitchAutoEncoder-1.seed","SwitchAutoEncoder-1.steps","SwitchAutoEncoder-1.trainer","SwitchAutoEncoder-1.wandb_name","SwitchAutoEncoder-2.activation_dim","SwitchAutoEncoder-2.auxk_alpha","SwitchAutoEncoder-2.decay_start","SwitchAutoEncoder-2.device","SwitchAutoEncoder-2.dict_class","SwitchAutoEncoder-2.dict_size","SwitchAutoEncoder-2.experts","SwitchAutoEncoder-2.heaviside","SwitchAutoEncoder-2.k","SwitchAutoEncoder-2.layer","SwitchAutoEncoder-2.lb_alpha","SwitchAutoEncoder-2.lm_name","SwitchAutoEncoder-2.seed","SwitchAutoEncoder-2.steps","SwitchAutoEncoder-2.trainer","SwitchAutoEncoder-2.wandb_name","SwitchAutoEncoder-0/auxk_loss","SwitchAutoEncoder-0/dead_features","SwitchAutoEncoder-0/effective_l0","SwitchAutoEncoder-0/frac_variance_explained","SwitchAutoEncoder-0/l0","SwitchAutoEncoder-0/l2_loss","SwitchAutoEncoder-0/lb_loss","SwitchAutoEncoder-0/loss","SwitchAutoEncoder-1/auxk_loss","SwitchAutoEncoder-1/dead_features","SwitchAutoEncoder-1/effective_l0","SwitchAutoEncoder-1/frac_variance_explained","SwitchAutoEncoder-1/l0","SwitchAutoEncoder-1/l2_loss","SwitchAutoEncoder-1/lb_loss","SwitchAutoEncoder-1/loss","SwitchAutoEncoder-2/auxk_loss","SwitchAutoEncoder-2/dead_features","SwitchAutoEncoder-2/effective_l0","SwitchAutoEncoder-2/frac_variance_explained","SwitchAutoEncoder-2/l0","SwitchAutoEncoder-2/l2_loss","SwitchAutoEncoder-2/lb_loss","SwitchAutoEncoder-2/loss","SwitchAutoEncoder-0/cossim","SwitchAutoEncoder-0/frac_alive","SwitchAutoEncoder-0/frac_recovered","SwitchAutoEncoder-0/l1_loss","SwitchAutoEncoder-0/l2_ratio","SwitchAutoEncoder-0/loss_original","SwitchAutoEncoder-0/loss_reconstructed","SwitchAutoEncoder-0/loss_zero","SwitchAutoEncoder-0/mse_loss","SwitchAutoEncoder-1/cossim","SwitchAutoEncoder-1/frac_alive","SwitchAutoEncoder-1/frac_recovered","SwitchAutoEncoder-1/l1_loss","SwitchAutoEncoder-1/l2_ratio","SwitchAutoEncoder-1/loss_original","SwitchAutoEncoder-1/loss_reconstructed","SwitchAutoEncoder-1/loss_zero","SwitchAutoEncoder-1/mse_loss","SwitchAutoEncoder-2/cossim","SwitchAutoEncoder-2/frac_alive","SwitchAutoEncoder-2/frac_recovered","SwitchAutoEncoder-2/l1_loss","SwitchAutoEncoder-2/l2_ratio","SwitchAutoEncoder-2/loss_original","SwitchAutoEncoder-2/loss_reconstructed","SwitchAutoEncoder-2/loss_zero","SwitchAutoEncoder-2/mse_loss"
"confused-universe-16","running","-","","","2024-07-18T01:18:41.000Z","90405","","768","0.03125","320000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","786432","32","false","64","8","3","openai-community/gpt2","0","400000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00014652495156042278","33186","64","0.9911859631538392","977.7705078125","825.7859497070312","1.016491174697876","3167.781494140625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"graceful-bush-15","running","-","","","2024-07-18T01:18:35.000Z","90403","","768","0.03125","320000","cuda:3","dictionary_learning.trainers.switch.SwitchAutoEncoder","393216","16","false","64","8","3","openai-community/gpt2","0","400000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00014749987167306244","10555","64","0.9884129762649536","377.75927734375","715.73046875","1.0106892585754397","3044.3583984375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dainty-butterfly-14","killed","-","","","2024-07-17T21:07:00.000Z","15014","","768","0.03125","80000","cuda:3","dictionary_learning.trainers.switch.SwitchAutoEncoder","393216","16","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00017401603690814227","1649","64","0.9833005666732788","1646.703125","1041.444091796875","1.0049872398376465","3356.934814453125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"autumn-salad-13","killed","-","","","2024-07-17T21:06:57.000Z","14998","","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","786432","32","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00019712196080945432","4824","64","0.9820602536201476","4270.35986328125","1438.900146484375","1.0151710510253906","3777.854248046875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"restful-pond-10","finished","-","","","2024-07-16T18:21:41.000Z","67088","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","128","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","192","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","8.983226251757516e-8","1","128","0.9917336702346802","622.1590576171875","23.862682342529297","1.0001033544540403","2910.454345703125","0","0","192","0.9917526841163636","855.1697998046875","21.38467025756836","1.0000474452972412","2787.32861328125","","","","","","","","","0.9790884256362916","0.000020345052689663135","0.9970349669456482","861.2166137695312","0.9785934686660768","3.3303747177124023","3.371986389160156","17.364582061767578","605.957275390625","0.9832859635353088","0.000020345052689663135","0.9981513023376464","1024.28564453125","0.9830310940742492","3.318167209625244","3.344607353210449","17.620439529418945","485.6461791992187","","","","","","","","",""
"swift-bush-9","finished","-","","","2024-07-16T18:21:19.000Z","70202","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","32","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","0.00004389146852190606","2093","32","0.9859304428100586","220.2236328125","31.167091369628903","1.000011324882507","3335.608642578125","5.219740160100628e-7","5","64","0.986319065093994","325.916259765625","27.556137084960938","1.0000251531600952","3106.8310546875","","","","","","","","","0.9641841650009156","0.000020345052689663135","0.9923920631408693","515.2811279296875","0.9638637900352478","3.3303747177124023","3.437145948410034","17.364582061767578","1031.3681640625","0.9721305966377258","0.000020345052689663135","0.996076226234436","616.2243041992188","0.9717609882354736","3.318167209625244","3.374285936355591","17.620439529418945","805.6096801757812","","","","","","","","",""
"logical-darkness-8","finished","-","","","2024-07-16T18:17:45.000Z","72687","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","8","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","49152","2","false","16","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","","","","","","","","","","","","","","","","","0.000226201576879248","38666","8","0.970999836921692","2669.714111328125","44.834686279296875","1.000016212463379","4428.8154296875","0.000060795089666498825","22896","16","0.9752771258354188","412.0250244140625","37.13818359375","1.000027418136597","3747.58056640625","","","","","","","","","0.9246957302093506","0.000020345052689663135","0.96678227186203","2702.6259765625","0.925324559211731","3.3303747177124023","3.7965593338012695","17.364582061767578","2125.84619140625","0.9491409063339232","0.000020345052689663135","0.986436367034912","595.2242431640625","0.9488089680671692","3.318167209625244","3.512157678604126","17.620439529418945","1455.8184814453125","","","","","","","","",""
"sandy-bush-4","finished","-","","","2024-07-15T21:34:12.000Z","267051","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","128","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","192","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00000585165798838716","67","64","0.9912158250808716","644.177001953125","25.612558364868164","1.0009918212890625","3002.18310546875","8.040491650262993e-8","1","128","0.9933746457099916","894.3642578125","22.29888343811035","1.0019919872283936","2837.57666015625","3.0271257855929434e-7","4","192","0.9953283667564392","998.18212890625","19.787532806396484","1.0035583972930908","2732.66455078125","0.9758203029632568","0.000005086263172415784","0.9959617853164672","1059.16064453125","0.9751524925231934","3.3303747177124023","3.387047529220581","17.364582061767578","705.7967529296875","0.9817373752593994","0.000005086263172415784","0.9976603984832764","1090.65234375","0.9813334941864014","3.26992130279541","3.30344820022583","17.59981346130371","536.3785400390625","0.9855078458786012","0.000005086263172415784","0.998372495174408","1178.6630859375","0.9849400520324708","3.362159013748169","3.385585308074951","17.756790161132812","425.2669677734375"
"earnest-deluge-3","finished","-","","","2024-07-15T21:34:12.000Z","275866","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","8","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","16","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","196608","8","false","32","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.0003125228686258197","171691","8","0.974634885787964","5859.16162109375","43.71236038208008","1.0024850368499756","4318.5771484375","0.0000994439105852507","120954","16","0.983691394329071","1647.256103515625","35.20275115966797","1.0010924339294434","3616.20703125","0.0000384292725357227","21282","32","0.9900680780410768","551.8365478515625","29.081233978271484","1.0005967617034912","3205.39501953125","0.9281413555145264","0.000005086263172415784","0.9688990712165833","6035.49169921875","0.9278297424316406","3.3303747177124023","3.7668514251708984","17.364582061767578","2038.071533203125","0.9542373418807985","0.000005086263172415784","0.987432301044464","1647.1859130859375","0.9543359279632568","3.26992130279541","3.4500153064727783","17.59981346130371","1320.304443359375","0.9688628911972046","0.000005086263172415784","0.9940652251243592","990.1376953125","0.968109130859375","3.362159013748169","3.447587490081787","17.756790161132812","904.11865234375"
"vague-bee-2","finished","-","","","2024-07-15T21:33:26.000Z","142741","","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","98304","4","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","98304","4","false","128","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","98304","4","false","192","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","6.804610848121229e-7","7","64","0.9906546473503112","413.097900390625","26.483139038085938","1.0000592470169067","3046.6953125","8.670417628309225e-8","1","128","0.993074357509613","688.697998046875","22.84805679321289","1.0004172325134275","2856.57666015625","0","0","192","0.994927942752838","1246.872802734375","20.78674697875977","1.0023193359375","2767.7099609375","0.9741414785385132","0.000010172526344831567","0.9958136081695556","732.255615234375","0.9733914136886596","3.3303747177124023","3.389127254486084","17.364582061767578","750.8903198242188","0.9808090329170228","0.000010172526344831567","0.997503101825714","973.6962890625","0.9805458188056946","3.26992130279541","3.30570125579834","17.59981346130371","560.69482421875","0.9841329455375672","0.000010172526344831567","0.998043179512024","1219.4080810546875","0.98341703414917","3.362159013748169","3.390326499938965","17.756790161132812","461.716064453125"
